"","chl","distance","no3","o2","phyc","po4","si","so","thetao"
"chl",1,-0.292983217216502,0.858761751342044,0.549147776018468,0.986162851799105,0.278055713989633,0.496613721123451,-0.763407725253553,-0.464841686739701
"distance",-0.292983217216502,1,-0.23030040287315,-0.375305884259849,-0.284286779841651,0.00741829930213005,-0.32712547468632,0.33539208820528,0.398969324546622
"no3",0.858761751342044,-0.23030040287315,1,0.50803688052323,0.862942517741094,0.0594107252088393,0.589994456404279,-0.818347910919985,-0.407092799619182
"o2",0.549147776018468,-0.375305884259849,0.50803688052323,1,0.583929944746155,0.107348427173283,0.705050083576134,-0.772361708321779,-0.961770477435015
"phyc",0.986162851799105,-0.284286779841651,0.862942517741094,0.583929944746155,1,0.270788660796179,0.563428558509367,-0.814449695359644,-0.471788244858188
"po4",0.278055713989633,0.00741829930213005,0.0594107252088393,0.107348427173283,0.270788660796179,1,0.0530052177872147,-0.0490237023468011,-0.109493786476504
"si",0.496613721123451,-0.32712547468632,0.589994456404279,0.705050083576134,0.563428558509367,0.0530052177872147,1,-0.772352585395388,-0.585239684310942
"so",-0.763407725253553,0.33539208820528,-0.818347910919985,-0.772361708321779,-0.814449695359644,-0.0490237023468011,-0.772352585395388,1,0.635621078192372
"thetao",-0.464841686739701,0.398969324546622,-0.407092799619182,-0.961770477435015,-0.471788244858188,-0.109493786476504,-0.585239684310942,0.635621078192372,1
